Date,Description,Amount,Extended Details,Appears On Your Statement As,Address,City/State,Zip Code,Country,Reference,Category
07/12/2023,AplPay NYCT PAYGO   NEW YORK            NY,2.75,"00681525361 LOCAL TRANSPORTATION
AplPay NYCT PAYGO
NEW YORK
NY
LOCAL TRANSPORTATION",AplPay NYCT PAYGO   NEW YORK            NY,"ATTN NYCT CONTROLLER
2 BROADWAY 15TH FLOOR","NEW YORK
NY",10004,UNITED STATES,'320231940338306318',Transportation-Rail Services
07/12/2023,LATE FEE,40.00,LATE FEE,LATE FEE,,,,,'320231933327272920',Fees & Adjustments-Fees & Adjustments
07/12/2023,OPS*HIRSELDRY303GREENEW YORK            NY,4.50,"00533900001 9172994602
OPS*HIRSELDRY303GREENWICH 000000128
NEW YORK
NY
Description : LAUNDRY(SELF) Price : 0.045
9172994602",OPS*HIRSELDRY303GREENEW YORK            NY,6961 78TH ST,"MIDDLE VILLAGE
NY",11379,UNITED STATES,'320231940341336330',Business Services-Professional Services
07/11/2023,AplPay BENVENUTO TRINEW YORK            NY,24.93,"38500135    212-219-2373
AplPay BENVENUTO TRIBECA CAFE 0000
NEW YORK
NY
Description : FOOD/BEVERAGE Price : 0.00
212-219-2373",AplPay BENVENUTO TRINEW YORK            NY,369 GREENWICH ST,"NEW YORK
NY",10013,UNITED STATES,'320231930315249315',Restaurant-Restaurant
07/11/2023,AplPay JOE & THE JUINEW YORK            NY,5.25,"######K3wV9 RESTAURANT
AplPay JOE & THE JUICE NEW YORK LLC
NEW YORK
NY
RESTAURANT",AplPay JOE & THE JUINEW YORK            NY,110 GREENE ST,"NEW YORK
NY",10012,UNITED STATES,'320231920280037737',Restaurant-Restaurant
07/11/2023,AplPay NYCT PAYGO   NEW YORK            NY,2.75,"00681308894 LOCAL TRANSPORTATION
AplPay NYCT PAYGO
NEW YORK
NY
LOCAL TRANSPORTATION",AplPay NYCT PAYGO   NEW YORK            NY,"ATTN NYCT CONTROLLER
2 BROADWAY 15TH FLOOR","NEW YORK
NY",10004,UNITED STATES,'320231930313962084',Transportation-Rail Services
07/11/2023,AplPay NYCT PAYGO   NEW YORK            NY,2.75,"00681320063 LOCAL TRANSPORTATION
AplPay NYCT PAYGO
NEW YORK
NY
LOCAL TRANSPORTATION",AplPay NYCT PAYGO   NEW YORK            NY,"ATTN NYCT CONTROLLER
2 BROADWAY 15TH FLOOR","NEW YORK
NY",10004,UNITED STATES,'320231930314149837',Transportation-Rail Services
07/11/2023,AplPay NYCT PAYGO   NEW YORK            NY,2.75,"00681249730 LOCAL TRANSPORTATION
AplPay NYCT PAYGO
NEW YORK
NY
LOCAL TRANSPORTATION",AplPay NYCT PAYGO   NEW YORK            NY,"ATTN NYCT CONTROLLER
2 BROADWAY 15TH FLOOR","NEW YORK
NY",10004,UNITED STATES,'320231930315493543',Transportation-Rail Services
07/11/2023,OPS*HIRSELDRY303GREENEW YORK            NY,4.50,"00615200001 9172994602
OPS*HIRSELDRY303GREENWICH 000000128
NEW YORK
NY
Description : LAUNDRY(SELF) Price : 0.045
9172994602",OPS*HIRSELDRY303GREENEW YORK            NY,6961 78TH ST,"MIDDLE VILLAGE
NY",11379,UNITED STATES,'320231930314423539',Business Services-Professional Services
07/11/2023,SHUKA 38 MACDOUGAL SNEW YORK            NY,61.00,"31089093193 2124757500
SHUKA 38 MACDOUGAL ST
NEW YORK
NY
2124757500",SHUKA 38 MACDOUGAL SNEW YORK            NY,38 MACDOUGAL ST,"NEW YORK
NY",10012,UNITED STATES,'320231930315588677',Restaurant-Restaurant
07/10/2023,AVIS RENT A CAR     NEW YORK            NY,655.09,"R/A# 475886180   800-352-7900
AVIS RENT A CAR
NEW YORK
NY",AVIS RENT A CAR     NEW YORK            NY,"SEND ALL MAIL TO
CORRFIN ADDRESS","GARDEN CITY
NY",11530,UNITED STATES,'320231920296099466',Travel-Vehicle Rental
07/10/2023,AplPay EXXONMOBIL 47NEW MILFORD         PA,19.57,"00027335   00246320         18834
420
431
440
450
AplPay EXXONMOBIL 4757
NEW MILFORD
PA
420
431
440
450
00246320         18834",AplPay EXXONMOBIL 47NEW MILFORD         PA,-,"(800) 243-9966
TX",77389,UNITED STATES,'320231920294128236',Transportation-Fuel
07/10/2023,AplPay NYCT PAYGO   NEW YORK            NY,2.75,"00681118562 LOCAL TRANSPORTATION
AplPay NYCT PAYGO
NEW YORK
NY
LOCAL TRANSPORTATION",AplPay NYCT PAYGO   NEW YORK            NY,"ATTN NYCT CONTROLLER
2 BROADWAY 15TH FLOOR","NEW YORK
NY",10004,UNITED STATES,'320231920291045112',Transportation-Rail Services
07/10/2023,EXXONMOBIL 4757     NEW MILFORD         PA,26.52,"00027325    570-465-4070
EXXONMOBIL 4757
NEW MILFORD
PA
Description : 001 Price : 0.00
570-465-4070",EXXONMOBIL 4757     NEW MILFORD         PA,-,"(800) 243-9966
TX",77389,UNITED STATES,'320231920294115740',Transportation-Fuel
07/09/2023,AplPay EXXONMOBIL 48HAMBURG             NY,8.56,"00967255   01175024         14075
400
AplPay EXXONMOBIL 4831
HAMBURG
NY
400
01175024         14075",AplPay EXXONMOBIL 48HAMBURG             NY,-,"(800) 243-9966
TX",77389,UNITED STATES,'320231910266100044',Transportation-Fuel
07/09/2023,EXXONMOBIL 4831     HAMBURG             NY,31.32,"00967252    716-648-4195
EXXONMOBIL 4831
HAMBURG
NY
Description : 001 Price : 0.00
716-648-4195",EXXONMOBIL 4831     HAMBURG             NY,-,"(800) 243-9966
TX",77389,UNITED STATES,'320231910267651409',Transportation-Fuel
07/09/2023,GLEN OAK GOLF CLUB 0EAST AMHERST        NY,10.00,"31099533190 PUBLIC GOLF COURSE
GLEN OAK GOLF CLUB 00-08079528371
EAST AMHERST
NY
PUBLIC GOLF COURSE",GLEN OAK GOLF CLUB 0EAST AMHERST        NY,711 SMITH RD,"EAST AMHERST
NY",14051-1102,UNITED STATES,'320231910268982673',Entertainment-Associations
07/08/2023,AplPay SP HOOOYI    DENVER              CO,29.81,"NT_OEGAKYUI +13037328232
AplPay SP HOOOYI
DENVER
CO
+13037328232",AplPay SP HOOOYI    DENVER              CO,7813 RARITAN ST,"DENVER
CO",80221,UNITED STATES,'320231900247932802',Merchandise & Supplies-Clothing Stores
07/07/2023,AplPay LYFT         855-280-0278        CA,8.57,"NT_ODGVQ9VE(NONE)           94104
LEDGER
AplPay LYFT
855-280-0278
CA
LEDGER
(NONE)           94104",AplPay LYFT         855-280-0278        CA,185 BERRY ST STE 5000,"SAN FRANCISCO
CA",94107,UNITED STATES,'320231880188812219',Transportation-Taxis & Coach
07/07/2023,AplPay NYCT PAYGO   NEW YORK            NY,2.75,"00680536288 LOCAL TRANSPORTATION
AplPay NYCT PAYGO
NEW YORK
NY
LOCAL TRANSPORTATION",AplPay NYCT PAYGO   NEW YORK            NY,"ATTN NYCT CONTROLLER
2 BROADWAY 15TH FLOOR","NEW YORK
NY",10004,UNITED STATES,'320231890223632222',Transportation-Rail Services
07/07/2023,AplPay SPEEDWAY     1-800-643-1948      OH,17.92,"000799280016077392381
SERVICE STATION
AplPay SPEEDWAY
1-800-643-1948
OH
SERVICE STATION
6077392381",AplPay SPEEDWAY     1-800-643-1948      OH,500 SPEEDWAY DR,"ENON
OH",45323-1056,UNITED STATES,'320231890219400427',Transportation-Fuel
07/07/2023,AplPay STARBUCKS    800-782-7282        WA,25.00,"2GZAU53O8PM GIFT CARD
AplPay STARBUCKS
800-782-7282
WA
GIFT CARD",AplPay STARBUCKS    800-782-7282        WA,2401 UTAH AVE SOUTH STE 800,"SEATTLE
WA",98134,UNITED STATES,'320231880186600951',Restaurant-Bar & Café
07/06/2023,30827 NYSC WEST 16THNEW YORK            NY,110.69,"34910163188 2126270065
30827 NYSC WEST 16TH ST 30827 NYSC WES
NEW YORK
NY
2126270065",30827 NYSC WEST 16THNEW YORK            NY,128 8TH AVE,"NEW YORK
NY",10011-0000,UNITED STATES,'320231880187177442',Entertainment-Associations
07/06/2023,AplPay BENVENUTO TRINEW YORK            NY,25.54,"38000480    212-219-2373
AplPay BENVENUTO TRIBECA CAFE 0000
NEW YORK
NY
Description : FOOD/BEVERAGE Price : 0.00
212-219-2373",AplPay BENVENUTO TRINEW YORK            NY,369 GREENWICH ST,"NEW YORK
NY",10013,UNITED STATES,'320231880195525923',Restaurant-Restaurant
07/06/2023,AplPay MORGAN'S MARKNEW YORK            NY,62.00,"00042337    212-964-4283
AplPay MORGAN'S MARKET. 0001
NEW YORK
NY
Description : GENERAL MERCH Price : 0.00
212-964-4283",AplPay MORGAN'S MARKNEW YORK            NY,13 HUDSON ST,"NEW YORK
NY",10013,UNITED STATES,'320231880203225415',Other-Miscellaneous
07/06/2023,AplPay NYCT PAYGO   NEW YORK            NY,2.75,"00680453931 LOCAL TRANSPORTATION
AplPay NYCT PAYGO
NEW YORK
NY
LOCAL TRANSPORTATION",AplPay NYCT PAYGO   NEW YORK            NY,"ATTN NYCT CONTROLLER
2 BROADWAY 15TH FLOOR","NEW YORK
NY",10004,UNITED STATES,'320231880194721770',Transportation-Rail Services
07/06/2023,AplPay NYCT PAYGO   NEW YORK            NY,2.75,"00680507184 LOCAL TRANSPORTATION
AplPay NYCT PAYGO
NEW YORK
NY
LOCAL TRANSPORTATION",AplPay NYCT PAYGO   NEW YORK            NY,"ATTN NYCT CONTROLLER
2 BROADWAY 15TH FLOOR","NEW YORK
NY",10004,UNITED STATES,'320231880196079690',Transportation-Rail Services
07/06/2023,AplPay NYCT PAYGO   NEW YORK            NY,2.75,"00680357436 LOCAL TRANSPORTATION
AplPay NYCT PAYGO
NEW YORK
NY
LOCAL TRANSPORTATION",AplPay NYCT PAYGO   NEW YORK            NY,"ATTN NYCT CONTROLLER
2 BROADWAY 15TH FLOOR","NEW YORK
NY",10004,UNITED STATES,'320231880198631810',Transportation-Rail Services
07/06/2023,METROCARD/AIRTRAIN  NEW YORK            NY,11.00,"07350748942 LOCAL TRANSPORTATION
METROCARD/AIRTRAIN
NEW YORK
NY
LOCAL TRANSPORTATION",METROCARD/AIRTRAIN  NEW YORK            NY,2 BROADWAY B15 123,"NEW YORK
NY",10004-5106,UNITED STATES,'320231880189556084',Transportation-Rail Services
07/05/2023,AMERICAN AIRLINES 05SAN FRANCISCO       CA,30.00,"20230706    AA.COM
EXCESS BAGGAGE
AMERICAN AIRLINES 05106102
SAN FRANCISCO
CA
Carrier : AMERICAN AIRLINES
Passenger Name : HUIBREGTSE/CLYDE
Ticket Number : 0010262486292
Departure Day : 07/05
Additional Info : EXCESS BAGGAGE",AMERICAN AIRLINES 05SAN FRANCISCO       CA,1 SKYVIEW DR,"FORT WORTH
TX",76155,UNITED STATES,'320231870169931693',Travel-Airline
07/05/2023,AplPay SFO 0956A MilSan Francisco       CA,21.80,"7449       7449             94128
AplPay SFO 0956A Mills Cargo 1599695000
San Francisco
CA
7449             94128",AplPay SFO 0956A MilSan Francisco       CA,SAN FRANCISCO INT AIRPORT,"SAN FRANCISCO
CA",94128,UNITED STATES,'320231870171477225',Merchandise & Supplies-General Retail
07/04/2023,AplPay BLENDID      San Francisco       CA,9.23,"R4MqubCz9zy squareup.com/receipts
AplPay BLENDID
San Francisco
CA
squareup.com/receipts",AplPay BLENDID      San Francisco       CA,150 GREENWICH ST,"SAN FRANCISCO
CA",94111,UNITED STATES,'320231850118711368',Other-Miscellaneous
07/04/2023,AplPay MISSION DISTRSan Francisco       CA,20.91,"H7w45Zv5Z79 squareup.com/receipts
AplPay MISSION DISTRICT
San Francisco
CA
squareup.com/receipts",AplPay MISSION DISTRSan Francisco       CA,3150 24TH ST,"SAN FRANCISCO
CA",94110,UNITED STATES,'320231850135280117',Restaurant-Restaurant
07/04/2023,AplPay WALGREENS    SAN FRANCISCO       CA,61.88,"99999993186NONE             94110
PHARMACIES
AplPay WALGREENS
SAN FRANCISCO
CA
PHARMACIES
NONE             94110",AplPay WALGREENS    SAN FRANCISCO       CA,2690 MISSION ST,"SAN FRANCISCO
CA",94110,UNITED STATES,'320231860148504505',Merchandise & Supplies-Pharmacies
07/03/2023,AplPay CLIPPER SYSTECONCORD             CA,20.00,"00117678498 8778788883
AplPay CLIPPER SYSTEMS MOBILE #1 000007046
CONCORD
CA
Description : REFER TO RECEIPT Price : 0.00
8778788883",AplPay CLIPPER SYSTECONCORD             CA,"STE 900
1800 SUTTER ST","CONCORD
CA",94520,UNITED STATES,'320231860145737962',Other-Government Services
07/03/2023,AplPay WALGREENS    SAN FRANCISCO       CA,21.11,"99999993185 8002892273
AplPay WALGREENS
SAN FRANCISCO
CA
Description : PHARMACIES Price : 0.2111
8002892273",AplPay WALGREENS    SAN FRANCISCO       CA,"300 MONTGOMERY ST
STE 628","SAN FRANCISCO
CA",94104-1908,UNITED STATES,'320231850125440068',Merchandise & Supplies-Pharmacies
07/02/2023,AplPay BT*DD *DOORDASAN FRANCISCO       CA,28.45,"J2NPDC6X    8559731040
AplPay BT*DD *DOORDASH GYROSANDT
SAN FRANCISCO
CA
8559731040",AplPay BT*DD *DOORDASAN FRANCISCO       CA,303 2ND ST STE 800,"SAN FRANCISCO
CA",94107,UNITED STATES,'320231830069014007',Restaurant-Restaurant
